Country (Code UN (M49)),Country (Name),Unit (Name),Unit,[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
108,Burundi,Number (Thousand),Number (1000),2815.97,2887.4,2948.13,3033.22,3118.13,3193.38,3274.49,3352.4,3424.43,3497.84,3582.07,3579.2,3571.45,3660.03,3749.23,3830.89,3927.43,4039.41,4137.44,4312.84,4490.74,4602.27,4726.51,4842.27,4948.02,5041.71,5157.77,5271.84,5373.7,5483.79,5594.83,5743.09,5555.22,5586.41,5932.78,5930.51,5923.86,6035.34,6180.18,6307.66,6465.73,6648.94,6860.85,7120.5,7388.88,7658.19,7944.61,8278.11,8709.37,9126.61,9455.73,9795.48,10149.58,10494.91,10727.15,10903.33,11155.59,11493.47,11874.84
132,Cabo Verde,Number (Thousand),Number (1000),214.79,221.48,228.81,236.36,244.16,252.24,260.65,269.41,278.52,287.26,293.51,296.82,299.19,301.68,304.38,307.02,309.39,311.69,314,317.23,321.63,326.32,330.97,335.47,339.87,344.27,348.72,353.23,358.15,364.56,372.72,381.95,391.75,401.65,411.38,421.01,430.65,440.21,449.63,458.25,465.96,473.23,480.09,486.58,492.83,498.88,504.73,510.34,515.64,521.21,527.52,533.86,539.94,546.08,552.17,558.39,564.95,571.2,577.03
116,Cambodia,Number (Thousand),Number (1000),5664.65,5788.85,5913.68,6040.85,6170.73,6299.23,6426.45,6553.11,6679.71,6708.52,6696.32,6766.29,6852.36,6913.41,6727.92,6307.12,6040.2,5961.19,6051.81,6198.96,6364.47,6619.7,6881.96,7133.9,7376.09,7661.32,7975.6,8269.78,8570.93,8910.81,9259.36,9718.22,10243.55,10636.35,10919.53,11182.61,11431.57,11669.08,11899.01,12118.84,12338.19,12561.78,12787.71,13016.37,13246.58,13477.78,13714.79,13943.89,14155.74,14363.53,14573.89,14786.64,14999.68,15210.82,15417.52,15624.58,15830.69,16025.24,16207.75
120,Cameroon,Number (Thousand),Number (1000),5200.35,5303.84,5427.51,5556.21,5690.09,5829.58,5975.09,6127.19,6286.23,6452.79,6627.35,6809.47,6998.69,7194.7,7397.42,7598.03,7796.82,8013.28,8243.38,8519.89,8829.05,9046.99,9240.67,9508.57,9804.25,10112.71,10433.91,10759.57,11089.22,11430.52,11777.72,12128.6,12486.77,12848.86,13211.65,13575.32,13941.18,14314.6,14698.97,15091.59,15493.25,15914.03,16354.33,16809.41,17275.17,17751.33,18251.87,18777.08,19319.27,19878.04,20448.87,21032.68,21632.85,22299.58,23012.65,23711.63,24393.18,25076.75,25782.34
124,Canada,Number (Thousand),Number (1000),18273.68,18622.35,18971.01,19326.33,19688.81,20055.23,20408.05,20731.93,21033.94,21434.58,21888.68,22222.22,22502.03,22812.43,23136.25,23442.12,23715.31,23962.69,24219.12,24511.51,24815.79,25101.52,25360.73,25602.08,25843.92,26116.07,26436.89,26815.06,27244.41,27657.21,28015.76,28347.64,28668.17,28981.19,29289.42,29593.85,29882.75,30144.81,30399.78,30683.31,31002.76,31322.4,31619.45,31911.67,32215.92,32531.87,32862.46,33218.54,33593.92,33963.41,34323.53,34691.88,35063.69,35404.61,35732.13,36113.53,36554.35,37035.25,37522.58
136,Cayman Islands,Number (Thousand),Number (1000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,17.1,17.9,18.73,19.57,20.43,21.31,22.2,23.07,23.96,24.89,26.03,27.34,28.68,30.04,31.42,32.8,34.19,35.58,36.95,38.3,39.66,41.05,42.46,43.86,45.29,46.73,48.18,49.65,51.12,52.6,54.07,55.49,56.86,58.21,59.56,60.91,62.26,63.58,64.88,66.13
140,Central African Republic,Number (Thousand),Number (1000),1710.37,1742.5,1776.21,1811.69,1849.17,1888.85,1930.86,1975.26,2021.52,2067.36,2111.22,2153.61,2195.91,2239.3,2283.93,2318.35,2342.05,2365.96,2390.33,2415.28,2441.01,2467.64,2495.1,2523.54,2553.07,2583.63,2615.59,2657.24,2724.11,2809.22,2898.05,2991.73,3089.15,3187.84,3276.71,3363.57,3458.47,3555.06,3655.36,3759.17,3844.77,3930.65,4026.84,4115.14,4208.84,4294.35,4375.57,4467.23,4564.54,4660.07,4732.02,4773.31,4802.43,4798.73,4819.33,4904.18,4996.74,5094.78,5209.32
148,Chad,Number (Thousand),Number (1000),3087.66,3148.24,3210.3,3273.42,3336.34,3398.66,3461.66,3526.77,3595.15,3667.39,3742.53,3824.4,3912.91,4000.56,4084.11,4163.05,4238.55,4313.48,4402.94,4408.23,4409.23,4622.83,4859.17,4920.56,4967.59,5118.16,5300.85,5483.04,5670.62,5827.07,6042.43,6302.93,6448.28,6593,6888.86,7200.29,7450.87,7709.11,7981.89,8259.14,8538.8,8838.37,9196.37,9613.5,10005.01,10365.61,10722.73,11098.66,11496.13,11894.73,12317.73,12754.91,13216.77,13697.13,14140.27,14592.58,15085.88,15604.21,16126.87
152,Chile,Number (Thousand),Number (1000),8313.54,8486.12,8656.01,8825.05,8994.94,9161.65,9326.27,9491.5,9656.3,9820.48,9984.38,10145.76,10307.84,10472.74,10639.53,10804.87,10969.86,11137.75,11304.33,11469.83,11637.61,11807.41,11976.51,12147.76,12326.4,12514.5,12712.78,12918.39,13128.62,13342.87,13561.95,13782.3,13998.39,14210.67,14416.8,14615.48,14809.29,14996.74,15176.41,15351.8,15523.98,15693.79,15859.11,16017.97,16175.31,16334.58,16495.54,16661.46,16833.45,17004.16,17173.57,17341.77,17509.92,17687.11,17870.12,18083.88,18368.58,18701.45,19039.49
156,China,Number (Thousand),Number (1000),655260.38,664614.65,683903.56,704593.77,723846.35,742948.54,761006.26,780371.96,801430.98,822534.45,843285.42,862840.4,881652.08,899367.64,915124.66,929375.92,942581.33,955138.94,968298.97,982372.47,997259.5,1013483.17,1029226.91,1044172.2,1060239.98,1077770.52,1096851.84,1115889.8,1134414.72,1153704.25,1170626.17,1183813.39,1195855.56,1207286.68,1218144.43,1228298.84,1237801.45,1246836.1,1255433.24,1264099.07,1272739.58,1280926.12,1288873.37,1296816.71,1304887.56,1313086.57,1321513.22,1330167.15,1339125.59,1348191.37,1357095.48,1366560.82,1376100.31,1385189.67,1393715.45,1401889.68,1410275.96,1417069.47,1421864.03
